id,box
eabff78ee97cf8df,0.00 0.00 0.79 0.95
654a08dff4f19f5b,0.00 0.04 0.96 1.00
6228cc96dc5b4def,0.00 0.23 0.75 0.76
2b78232ca489083c,0.09 0.00 0.88 1.00
2d5aee30e9c199da,0.00 0.00 0.71 1.00
abad433ced8b2a93,0.40 0.00 0.74 0.78
2aa42b54a882386b,0.02 0.16 1.00 1.00
2ab1aaec722aaad6,0.21 0.00 1.00 1.00
2c2b92df11992012,0.48 0.11 0.88 0.82
b50b935a33b2395e,0.00 0.00 0.84 1.00
9f37060885e7920d,0.06 0.26 0.50 0.63
7c03f26a896ff930,0.06 0.00 0.57 0.85
f34757dba9e681e0,0.20 0.01 0.68 1.00
2d2087aa8476fcb7,0.09 0.18 0.75 0.54
5036128037623b69,0.26 0.32 0.84 0.88
2bc6c45cf80f9b36,0.06 0.00 0.83 1.00
2d6857186839e464,0.07 0.14 0.75 0.73
2ea9f2c4078fa187,0.00 0.40 0.92 0.67
49b165c7931e2483,0.09 0.21 0.85 0.71
7afbc3b28195ad7f,0.00 0.00 1.00 1.00
60ba9533929dfa18,0.15 0.33 1.00 0.72
2e87058a38dfd042,0.21 0.39 0.64 1.00
305dfb6f18fca423,0.01 0.00 0.85 1.00
dff82011c00cf636,0.38 0.00 0.61 0.98
78cb6483b968ff90,0.21 0.13 0.55 1.00
dfd7ede0654f74c7,0.38 0.00 1.00 1.00
7465186d3cb8f170,0.25 0.00 0.66 1.00
b39f48e28d66f383,0.04 0.13 0.89 0.75
2dca0f9f26662ba2,0.06 0.05 0.70 0.75
2a084a47a2a8f623,0.12 0.00 0.64 1.00
4d54b9b624cab3c8,0.39 0.26 1.00 0.87
6323219f26eff70e,0.30 0.05 0.71 1.00
60afdcc930ccc974,0.36 0.34 0.59 0.66
2e976acb78226692,0.42 0.20 0.69 0.63
b27ba4ed6575979b,0.00 0.00 0.91 1.00
75874e3e809e37ff,0.29 0.00 0.67 1.00
2ad0ed1296956e7c,0.01 0.34 0.41 1.00
2b38e0caa1efc010,0.18 0.23 0.59 0.77
619384290fbf8b0c,0.29 0.38 0.53 0.56
